GL Account Number,GL Account Name ,Account type ,Mapping
601090,Inbound Freight - Surcharges,Cost,Operation Expenses
601091,Fuel Surcharge- Heavy equipment,Cost,Operation Expenses
601092,Fuel Surcharge - Overburden,Cost,Operation Expenses
601093,Waste Pond,Cost,Operation Expenses
601094,Plant Cleanup,Cost,Operation Expenses
601095,Inbound Freight,Cost,Operation Expenses
601096,Inbound Freight - Rail,Cost,Operation Expenses
601097,Inbound Freight - Truck,Cost,Operation Expenses
601098,Inbound Freight - Ocean,Cost,Operation Expenses
601100,Energy - Electricity,Cost,Operation Expenses
601110,Energy - Natural Gas,Cost,Operation Expenses
601111,Energy - Natural Gas Adjustments,Cost,Operation Expenses
601115,Energy - Fuel Oil,Cost,Operation Expenses
601116,Energy - Diesel Fuel Adjustments,Cost,Operation Expenses
601120,Energy - Propane,Cost,Operation Expenses
601130,Energy - Water,Cost,Operation Expenses
601131,Energy - Sewage,Cost,Operation Expenses
601140,Energy - Gasoline,Cost,Operation Expenses
601141,Energy - Diesel Fuel,Cost,Operation Expenses
601149,Energy - Alternative Fuels,Cost,Operation Expenses
601150,Energy - Coal,Cost,Operation Expenses
601180,Purch RM - PPV (L) - Diesel,Cost,Operation Expenses
601181,Purch RM - PPV (M) - Diesel,Cost,Operation Expenses
601182,Purch RM - PPV (L) - Alternative Fuels,Cost,Operation Expenses
601183,Purch RM - PPV (M) - Alternative Fuels,Cost,Operation Expenses
601191,Purch RM - PPV (L) - Coal,Cost,Operation Expenses
601192,Purch RM - PPV (M) - Coal,Cost,Operation Expenses
601193,Purch RM - PPV (L) - Coal Freight,Cost,Operation Expenses
601195,Purch RM - PPV (L) - Gas & Fuels,Cost,Operation Expenses
601196,Purch RM - PPV (L) - Lime,Cost,Operation Expenses
601197,Purch RM - PPV (M) - Gas & Fuels,Cost,Operation Expenses
601198,Purch RM - PPV (M) - Lime,Cost,Operation Expenses
601200,Maint Supplies - Parts and Matl,Cost,Operation Expenses
601201,Maint Supplies - Oils and Lubes,Cost,Operation Expenses
601202,Maint Supplies - Rolling Stock,Cost,Operation Expenses
601204,COS - Maintenance - Cycle Count,Cost,Operation Expenses
601205,Maint Supplies - Miscellaneous,Cost,Operation Expenses
601206,Maint Supplies - Hand Tools,Cost,Operation Expenses
601207,Maint Supplies - Welding,Cost,Operation Expenses
601212,Maint Supplies - Land & Building,Cost,Operation Expenses
601213,Maint Supplies - Mobile/Transport Equip/Vehicles,Cost,Operation Expenses
601214,Maint Supplies - Railcar,Cost,Operation Expenses
601215,Maint Supplies - Small Tools/Lab & Office Equip,Cost,Operation Expenses
601216,Maint Supplies - EHS,Cost,Operation Expenses
601294,Purch RM - Freight in for Stores,Cost,Operation Expenses
601295,Purch RM - PPV (L) - Stores,Cost,Operation Expenses
601297,Purch RM - PPV (M) - Stores,Cost,Operation Expenses
601298,COS-Inv Chg - Stores,Cost,Operation Expenses
601299,COS - Inv Chg - Store -Inv Reval,Cost,Operation Expenses
601500,Packaging Costs - Bags,Cost,Operation Expenses
601501,Packaging Costs - Pallets,Cost,Operation Expenses
601502,Packaging Costs - Other Matl,Cost,Operation Expenses
601510,Packaging Costs - Small Bags,Cost,Operation Expenses
601520,Packaging Costs - Big Bags Lined,Cost,Operation Expenses
601521,Packaging Costs - Big Bags Unlined,Cost,Operation Expenses
601530,Contract Bagging,Cost,Operation Expenses
601550,COS - Packaging - Cycle Count,Cost,Operation Expenses
601551,Cycle Count - Small Bags,Cost,Operation Expenses
601552,Cycle Count - Big Bags,Cost,Operation Expenses
601553,Cycle Count - Pallets,Cost,Operation Expenses
601595,Purch RM - PPV (L) - Packaging,Cost,Operation Expenses
601597,Purch RM - PPV (M) - Packaging,Cost,Operation Expenses
601598,Packaging Costs - Inventory Reval,Cost,Operation Expenses
601700,Chemicals - Biocides,Cost,Operation Expenses
601701,Chemicals - Dispersants,Cost,Operation Expenses
601702,Chemicals - Flotation,Cost,Operation Expenses
601703,Chemicals - Grinding Aids,Cost,Operation Expenses
601704,Chemicals - Coating Aids,Cost,Operation Expenses
601705,Chemicals - Suspension Aids,Cost,Operation Expenses
601706,Chemicals - Settling Aids,Cost,Operation Expenses
601707,Chemicals - Boiler,Cost,Operation Expenses
601708,Chemicals - Waste Water,Cost,Operation Expenses
601710,Chemicals - Bleach,Cost,Operation Expenses
601711,Chemicals - PH Acid,Cost,Operation Expenses
601712,Chemicals - PH Base,Cost,Operation Expenses
601713,Chemicals - Coagulent,Cost,Operation Expenses
601714,Chemicals - Surface Mod,Cost,Operation Expenses
601715,Chemicals - Detergents,Cost,Operation Expenses
601716,Chemicals - Liquid Oxygen,Cost,Operation Expenses
601717,Chemicals - TIO2,Cost,Operation Expenses
601718,Chemicals - Tank Farm,Cost,Operation Expenses
601719,Chemicals - Slurry Plant,Cost,Operation Expenses
601720,Chemicals - Lignin,Cost,Operation Expenses
601721,Chemicals - CO2,Cost,Operation Expenses
601722,Chemicals - Intraplant Transfer,Cost,Operation Expenses
601723,Chemicals - Soda Ash,Cost,Operation Expenses
601724,Chemicals - Binders,Cost,Operation Expenses
601725,Chemicals - Pollution Control,Cost,Operation Expenses
601750,COS - Chemicals - Cycle Count,Cost,Operation Expenses
601790,Purch RM - PPV (L) - Chemicals - Dispersant,Cost,Operation Expenses
601791,Purch RM - PPV (L) - Chemicals - Flotation,Cost,Operation Expenses
601792,Purch RM - PPV (L) - Chemicals - Coating Aids,Cost,Operation Expenses
601793,Purch RM - PPV (L) - Chemicals - Biocides,Cost,Operation Expenses
601794,Purch RM - PPV (L) - Chemicals - Other,Cost,Operation Expenses
601795,Purch RM - PPV (L) - Chemicals,Cost,Operation Expenses
601796,Purch RM - PPV (L) - CO2,Cost,Operation Expenses
601797,Purch RM - PPV (M) - Chemicals,Cost,Operation Expenses
601798,Purch RM - PPV (M) - CO2,Cost,Operation Expenses
601800,Oper Matls - Screens,Cost,Operation Expenses
601801,Oper Matls - Grind Med,Cost,Operation Expenses
601802,Oper Matls - Tires,Cost,Operation Expenses
601803,Oper Matls - Blast Supplies,Cost,Operation Expenses
601804,Oper Matls - Lab,Cost,Operation Expenses
601809,Oper Matls - Other,Cost,Operation Expenses
601810,Oper Matls - Safety,Cost,Operation Expenses
601811,Oper Matls - Electrodes,Cost,Operation Expenses
601815,COS - Consumables - Cycle Count (Electrodes),Cost,Operation Expenses
601820,Dust Collector Bags,Cost,Operation Expenses
603100,COS - Inv Chg RM,Cost,Operation Expenses
603101,COS - Inv Chg Coal,Cost,Operation Expenses
603110,COS - Crude - Cycle Count,Cost,Operation Expenses
603111,COS - PO Crude - Cycle Count,Cost,Operation Expenses
603121,COS-Inv Chg RM-Value Added Mining,Cost,Operation Expenses
603122,COS - Inv Chg PO RM,Cost,Operation Expenses
603123,COS - Inv Chg - Stockpiles,Cost,Operation Expenses
603130,COS - Inv Chg RM - Obsol Parts Res,Cost,Operation Expenses
603150,COS - Inv Chg RM - Inv Reval,Cost,Operation Expenses
607000,Purchases For Resale Internal,Cost,Operation Expenses
607001,Purchases For Resale External,Cost,Operation Expenses
607002,Purch FG - PPV (L),Cost,Operation Expenses
607003,PPV - Grain,Cost,Operation Expenses
607010,Purchased Freight - In (Grain),Cost,Operation Expenses
608100,Non-Op Cycle IG Invoicing-Staff,Cost,Operation Expenses
608101,Non-Op Cycle IG Invoicing-Staff (Inter-BA),Cost,Operation Expenses
610100,Rent Exp - Vehicle Leases,Cost,Operation Expenses
610101,Rent Exp - Land,Cost,Operation Expenses
610156,Rent Exp - Buildings,Cost,Operation Expenses
610160,Rent Exp - Op Equip - ST,Cost,Operation Expenses
610161,Rent Exp - Op Equip - LT,Cost,Operation Expenses
610170,Rent Exp - Leased Apartments,Cost,Operation Expenses
610171,Leases - Computer,Cost,Operation Expenses
610176,Rent Exp Equip - Maint,Cost,Operation Expenses
610180,Rail Fleet Management,Cost,Operation Expenses
610200,Maint & Repair - General,Cost,Operation Expenses
610201,Maint & Repair - Special Equip,Cost,Operation Expenses
610202,Maint & Repair - Rolling Stock,Cost,Operation Expenses
610203,Maint & Repair - MSHA Related,Cost,Operation Expenses
610222,Maint Matls Trans - Mechnical,Cost,Operation Expenses
610223,Maint Matls Trans - General,Cost,Operation Expenses
610236,Contract Services - Maint,Cost,Operation Expenses
610251,Contract Pit Maint,Cost,Operation Expenses
610260,Office Equip Maint,Cost,Operation Expenses
610261,External Maintenance - Land & Building,Cost,Operation Expenses
610262,External Maintenance - Mobile/Transport Equip/Vehicles,Cost,Operation Expenses
610263,External Maintenance - Railcar,Cost,Operation Expenses
610264,External Maintenance - Small Tools/Lab & Office Equip,Cost,Operation Expenses
610265,External Maintenance - EHS,Cost,Operation Expenses
610300,Insurance - Auto,Cost,Operation Expenses
610306,Insurance - General Liability,Cost,Operation Expenses
610311,Insurance - Marine,Cost,Operation Expenses
610316,Insurance - Other,Cost,Operation Expenses
610331,Insurance - Property,Cost,Operation Expenses
610360,Contract Services - General,Cost,Operation Expenses
610370,Contract Services - Labor,Cost,Operation Expenses
610371,Contract Services - Railcar Clean,Cost,Operation Expenses
610380,Contract Services - Railcar Freight,Cost,Operation Expenses
610385,Contract Services - Railcar Mech,Cost,Operation Expenses
610390,Contract Services - Railcar Paint,Cost,Operation Expenses
610400,Audit - Certification of Financial Statements,Cost,Operation Expenses
610401,Audit - Other diligences than certification,Cost,Operation Expenses
610410,Legal,Cost,Operation Expenses
610411,Intellectual Property (IP) Legal Fees,Cost,Operation Expenses
610420,Commission Exp,Cost,Operation Expenses
610421,Commission Exp - IG,Cost,Operation Expenses
610440,Internal Freight,Cost,Operation Expenses
610441,Internal Freight - Rail,Cost,Operation Expenses
610442,Internal Freight - Truck,Cost,Operation Expenses
610443,Internal Freight - Ocean,Cost,Operation Expenses
610444,Internal Freight - Surcharges,Cost,Operation Expenses
610445,Internal Freight - Demurrage,Cost,Operation Expenses
610450,Internal Freight - Intra Plant,Cost,Operation Expenses
610455,Freight on Returned Product,Cost,Operation Expenses
610457,Transfer Cost - Inbound Frt - Rail,Cost,Operation Expenses
610458,Transfer Cost - Inbound Frt - Truck,Cost,Operation Expenses
610459,Transfer Cost - Inbound Frt - Ocean,Cost,Operation Expenses
610460,Transfer Cost - Inbound Frt - Barge,Cost,Operation Expenses
610465,Freight Expense - Stone Frt,Cost,Operation Expenses
610466,Handling - Freight Software,Cost,Operation Expenses
610467,Handling - Freight Audit,Cost,Operation Expenses
610468,Truck Not Used Fees (aka TONU),Cost,Operation Expenses
610470,Freight Exp Detent & Demurage,Cost,Operation Expenses
610471,Freight Exp Detent & Demurage Truck,Cost,Operation Expenses
610475,Ocean Vessel Demurrage,Cost,Operation Expenses
610476,Transload Demurrage/Storage,Cost,Operation Expenses
610477,Dry Run Unrecoverable Freight Expense,Cost,Operation Expenses
610478,Transload Fees,Cost,Operation Expenses
610479,Track Lease Expense,Cost,Operation Expenses
610482,Short Line Rail Fee,Cost,Operation Expenses
610490,Railcar Lease Acquisition Cost,Cost,Operation Expenses
610495,Railcar Lease Exit Cost,Cost,Operation Expenses
610500,Railcar Allocation,Cost,Operation Expenses
610501,PD (Hopper) Railcar Expense,Cost,Operation Expenses
610502,Railcar Accrual,Cost,Operation Expenses
610503,Railcar Rental - Other,Cost,Operation Expenses
610504,Railcar Rental - ACFX,Cost,Operation Expenses
610505,Railcar Rental - CRDX,Cost,Operation Expenses
610506,Box Railcar Expense,Cost,Operation Expenses
610507,Railcar Rental - GATX,Cost,Operation Expenses
610508,Railcar Rental - PLCX,Cost,Operation Expenses
610510,Railcar Rental - UTLX,Cost,Operation Expenses
610511,Railcar Credits - ACFX,Cost,Operation Expenses
610512,Railcar Credits - CRDX,Cost,Operation Expenses
610513,PD (Hopper) Railcar Credits,Cost,Operation Expenses
610514,Railcar Credits - GATX,Cost,Operation Expenses
610515,Railcar Credits - PLCX,Cost,Operation Expenses
610516,Railcar Credits - TARX,Cost,Operation Expenses
610517,Railcar Credits - UTLX,Cost,Operation Expenses
610518,Railcar Credits - Other,Cost,Operation Expenses
610519,Railcar Storage,Cost,Operation Expenses
610520,Rail Re-Bill Penalty,Cost,Operation Expenses
610521,Railcar Overload,Cost,Operation Expenses
610522,Domestic External Freight,Cost,Operation Expenses
610524,Drayage,Cost,Operation Expenses
610525,Box Railcar Credits,Cost,Operation Expenses
610526,Fees - Brokerage,Cost,Operation Expenses
610530,Fees - Customs/Duty,Cost,Operation Expenses
610532,Fees - Harbour,Cost,Operation Expenses
610536,Freight - Intra Plant,Cost,Operation Expenses
610538,Freight Out,Cost,Operation Expenses
610539,Freight Out - Misc Chg Code,Cost,Operation Expenses
610540,Freight Out Break Bulk,Cost,Operation Expenses
610541,Freight Out Other,Cost,Operation Expenses
610542,Freight Out Bulk,Cost,Operation Expenses
610543,Freight Out Air,Cost,Operation Expenses
610544,Freight Out Container - Ocean,Cost,Operation Expenses
610545,Freight Out Container - Truck,Cost,Operation Expenses
610546,Freight Ppd Customers - Rail,Cost,Operation Expenses
610548,Freight Ppd Customers - Truck,Cost,Operation Expenses
610549,Freight Out Fuel Surcharge,Cost,Operation Expenses
610550,Fuel Surcharge,Cost,Operation Expenses
610552,Handling - Contract,Cost,Operation Expenses
610553,Fuel Surcharge-Hobby,Cost,Operation Expenses
610554,Handling - Min Warehouse,Cost,Operation Expenses
610555,Handling - Contract-Tiles,Cost,Operation Expenses
610556,Handling - Tanks,Cost,Operation Expenses
610557,Handling - Contract-Hobby,Cost,Operation Expenses
610558,Handling - Other,Cost,Operation Expenses
610560,Handling - Warehouse,Cost,Operation Expenses
610564,Moisturizing,Cost,Operation Expenses
610566,Rail Transfer,Cost,Operation Expenses
610570,Switching,Cost,Operation Expenses
610576,Vessel Discharge - Slurry,Cost,Operation Expenses
610577,Fuel Surcharge Expense Del Customers - Rail,Cost,Operation Expenses
610578,Vessel Discharge - Bulk,Cost,Operation Expenses
610579,Fuel Surcharge Expense Del Customers - Container,Cost,Operation Expenses
610580,Wharfage - Slurry,Cost,Operation Expenses
610581,Fuel Surcharge Expense Del Customers - Truck,Cost,Operation Expenses
610582,Wharfage - Bulk,Cost,Operation Expenses
610583,Wharfage - Bulk - Tiles,Cost,Operation Expenses
610587,Freight Expense Ppd Container - Ocean,Cost,Operation Expenses
610588,Freight Expense Del Customers - Truck,Cost,Operation Expenses
610589,Freight Expense Del Customers - Rail,Cost,Operation Expenses
610591,Freight Exp - COS Chrg Type (L),Cost,Operation Expenses
610592,Frt Exp - COS Chrg Type Contra (L),Cost,Operation Expenses
610600,Publicity - Public Relations,Cost,Operation Expenses
610601,Publicity - Promotional Items,Cost,Operation Expenses
610611,Publicity - Trade Shows,Cost,Operation Expenses
610620,Publicity - Sample Exp,Cost,Operation Expenses
610640,Publicity - Advertising Exp,Cost,Operation Expenses
610650,Publicity - Contribution Exp,Cost,Operation Expenses
610660,Environmental,Cost,Operation Expenses
610710,Customer Claims/Concessions,Cost,Operation Expenses
610730,Storage,Cost,Operation Expenses
610733,Toll Produced,Cost,Operation Expenses
610735,Education/Training,Cost,Operation Expenses
610740,Consulting,Cost,Operation Expenses
610741,Computer Outside Services,Cost,Operation Expenses
610742,Lab Contract Work,Cost,Operation Expenses
610743,Fees - Group Actuaries Networks,Cost,Operation Expenses
610745,Waste Removal,Cost,Operation Expenses
610747,Bank Charges,Cost,Operation Expenses
610752,Employment Fees,Cost,Operation Expenses
610755,Hiring Exp - Other,Cost,Operation Expenses
610757,Payroll - Fees and Maintenance,Cost,Operation Expenses
610760,Mill Trial Exp,Cost,Operation Expenses
610762,Plant Trials,Cost,Operation Expenses
610763,Sub-contracting - General,Cost,Operation Expenses
610764,Sub-contracting - Railcar Clean,Cost,Operation Expenses
610765,Sub-contracting - Railcar Lining,Cost,Operation Expenses
610766,Sub-contracting - Railcar Mech,Cost,Operation Expenses
610767,Sub-contracting - PD (Hopper) Mech,Cost,Operation Expenses
610768,Sub-Contractor - Mining,Cost,Operation Expenses
610769,Subcontracting Cost - Internal Haulage,Cost,Operation Expenses
610780,Timber Exp - Harvesting,Cost,Operation Expenses
610782,Timber Exp - Reforestation,Cost,Operation Expenses
610790,Outside Services - Cleaning,Cost,Operation Expenses
610791,Outside Services - Guard,Cost,Operation Expenses
610792,Outside Services - Repacking,Cost,Operation Expenses
610793,Outside Services - Credit,Cost,Operation Expenses
610794,Late Fees,Cost,Operation Expenses
610795,External Fees,Cost,Operation Expenses
610796,Misc Outside Services,Cost,Operation Expenses
610801,Travel Exp - General,Cost,Operation Expenses
610802,Meetings & Conventions,Cost,Operation Expenses
610803,Travel - Meals,Cost,Operation Expenses
610804,"Travel - Auto Rental, Gas & Rental Ins",Cost,Operation Expenses
610805,Travel - Vehicle (Mileage),Cost,Operation Expenses
610806,Travel - Spousal,Cost,Operation Expenses
610807,Travel - Airfare,Cost,Operation Expenses
610808,Travel - Lodging,Cost,Operation Expenses
610810,Customer Relations,Cost,Operation Expenses
610811,Dues & Subs,Cost,Operation Expenses
610813,Maps & Publications,Cost,Operation Expenses
610814,Non Travel Meals - Training,Cost,Operation Expenses
610815,Non Travel Meals - Employee,Cost,Operation Expenses
610816,Non Travel Meals - Coffee & Coke,Cost,Operation Expenses
610817,Non Travel Meals - Meeting,Cost,Operation Expenses
610820,Special Entertainment,Cost,Operation Expenses
610821,Special Events,Cost,Operation Expenses
610822,Gifts & Hospitality,Cost,Operation Expenses
610829,Interview Exp,Cost,Operation Expenses
610830,Hiring Exp - Physical,Cost,Operation Expenses
610833,Relocation Exp,Cost,Operation Expenses
610840,Office Equipment,Cost,Operation Expenses
610841,Office Improvements,Cost,Operation Expenses
610844,Test Equipment,Cost,Operation Expenses
610850,Supplies - Office,Cost,Operation Expenses
610851,Purchasing Card,Cost,Operation Expenses
610855,Telephone Exp,Cost,Operation Expenses
610856,Video Exp,Cost,Operation Expenses
610858,Communications - Dataline,Cost,Operation Expenses
610859,Communications - Maint,Cost,Operation Expenses
610860,Postage Exp,Cost,Operation Expenses
610861,Express Mail,Cost,Operation Expenses
610862,Courier Exp,Cost,Operation Expenses
610865,Non-rental Vehicle Gas & Maint,Cost,Operation Expenses
610870,Computer Hardware,Cost,Operation Expenses
610871,Computer Supplies,Cost,Operation Expenses
610872,Hardware Maint,Cost,Operation Expenses
610873,Computer Software,Cost,Operation Expenses
610874,Computer Training & Supplies,Cost,Operation Expenses
610875,Micro Hardware Maint,Cost,Operation Expenses
610876,Software Maint,Cost,Operation Expenses
610877,Lab Equipment,Cost,Operation Expenses
610879,Lab Supplies,Cost,Operation Expenses
610880,Lining Containers,Cost,Operation Expenses
610881,Water,Cost,Operation Expenses
610882,Sewage,Cost,Operation Expenses
610890,Budget Adjustments,Cost,Operation Expenses
610891,Admin - Rounding,Cost,Operation Expenses
619001,Leases<12 Mths-A11 Equip Mining Extraction,Cost,Leases
619002,Leases<12 Mths-A12 Equip Mining Transport,Cost,Leases
619003,Leases<12 Mths-A13 Equip Mining Other,Cost,Leases
619004,Leases<12 Mths-A20 Equip Industrial Fixed,Cost,Leases
619005,Leases<12 Mths-A21 Equip Industrial Vessel,Cost,Leases
619006,Leases<12 Mths-A22 Equip Industrial Railcar,Cost,Leases
619007,Leases<12 Mths-A23 Equip Industrial Truck,Cost,Leases
619008,Leases<12 Mths-A24 Equip Industrial Forklift,Cost,Leases
619009,Leases<12 Mths-A25 Equip Indust Other Mob,Cost,Leases
619010,Leases<12 Mths-A30 Equip Passenger Car,Cost,Leases
619011,Leases<12 Mths-A41 Equip Administrative,Cost,Leases
619012,Leases<12 Mths-B10 Prop Land Mining,Cost,Leases
619013,Leases<12 Mths-B11 Prop Land Non mining,Cost,Leases
619014,Leases<12 Mths-B20 Prop Plant,Cost,Leases
619015,Leases<12 Mths-B30 Prop Warehouse,Cost,Leases
619016,Leases<12 Mths-B40 Prop Housing,Cost,Leases
619017,Leases<12 Mths-B50 Prop Administrative,Cost,Leases
619018,Leases<12 Mths-A11 Equip Mining Extraction (M08 Rcls),Cost,Leases
619019,Leases<12 Mths-A12 Equip Mining Transport (M08 Rcls),Cost,Leases
619020,Leases<12 Mths-A13 Equip Mining Other (M08 Rcls),Cost,Leases
619101,Leases>12 Mths Anaplan Fixed -A11 Equip Mining Extract,Cost,Leases
619102,Leases>12 Mths Anaplan Fixed -A12 Equip Mining Trans,Cost,Leases
619103,Leases>12 Mths Anaplan Fixed -A13 Equip Mining Other,Cost,Leases
619104,Leases>12 Mths Anaplan Fixed -A20 Equip Indust Fixed,Cost,Leases
619105,Leases>12 Mths Anaplan Fixed -A21 Equip Indust Vessel,Cost,Leases
619106,Leases>12 Mths Anaplan Fixed -A22 Equip Indust Railcar,Cost,Leases
619107,Leases>12 Mths Anaplan Fixed -A23 Equip Indust Truck,Cost,Leases
619108,Leases>12 Mths Anaplan Fixed -A24 Equip Indust Forklift,Cost,Leases
619109,Leases>12 Mths Anaplan Fixed -A25 Equip Other Mob,Cost,Leases
619110,Leases>12 Mths Anaplan Fixed -A30 Equip Pass Car,Cost,Leases
619111,Leases>12 Mths Anaplan Fixed -A41 Equip Admin,Cost,Leases
619112,Leases>12 Mths Anaplan Fixed -B10 Prop Land Mining,Cost,Leases
619113,Leases>12 Mths Anaplan Fixed -B11 Prop Land Nonming,Cost,Leases
619114,Leases>12 Mths Anaplan Fixed -B20 Prop Plant,Cost,Leases
619115,Leases>12 Mths Anaplan Fixed -B30 Prop Warehouse,Cost,Leases
619116,Leases>12 Mths Anaplan Fixed -B40 Prop Housing,Cost,Leases
619117,Leases>12 Mths Anaplan Fixed -B50 Prop Admin,Cost,Leases
619118,Leases>12 Mths Anaplan Fixed -A11 Mining Extract (M08 Rcls),Cost,Leases
619119,Leases>12 Mths Anaplan Fixed -A12 Mining Trans (M08 Rcls),Cost,Leases
619120,Leases>12 Mths Anaplan Fixed -A13 Mining Other (M08 Rcls),Cost,Leases
619121,Leases>12 Mths Anaplan Fixed -B30 Prop Warehouse (M08 Rcls),Cost,Leases
619200,Lease Liabilities Amortization - Variable Costs,Cost,Leases
619201,Leases>12 Mths Anaplan Var -A11 Equip Mining Extract,Cost,Leases
619202,Leases>12 Mths Anaplan Var -A12 Equip Mining Trans,Cost,Leases
619203,Leases>12 Mths Anaplan Var -A13 Equip Mining Other,Cost,Leases
619204,Leases>12 Mths Anaplan Var -A20 Equip Indust Fixed,Cost,Leases
619205,Leases>12 Mths Anaplan Var -A21 Equip Indust Vessel,Cost,Leases
619206,Leases>12 Mths Anaplan Var -A22 Equip Indust Railcar,Cost,Leases
619207,Leases>12 Mths Anaplan Var -A23 Equip Indust Truck,Cost,Leases
619208,Leases>12 Mths Anaplan Var -A24 Equip Indust Forklift,Cost,Leases
619209,Leases>12 Mths Anaplan Var -A25 Equip Other Mob,Cost,Leases
619210,Leases>12 Mths Anaplan Var -A30 Equip Pass Car,Cost,Leases
619211,Leases>12 Mths Anaplan Var -A41 Equip Admin,Cost,Leases
619212,Leases>12 Mths Anaplan Var -B10 Prop Land Mining,Cost,Leases
619213,Leases>12 Mths Anaplan Var -B11 Prop Land Nonming,Cost,Leases
619214,Leases>12 Mths Anaplan Var -B20 Prop Plant,Cost,Leases
619215,Leases>12 Mths Anaplan Var -B30 Prop Warehouse,Cost,Leases
619216,Leases>12 Mths Anaplan Var -B40 Prop Housing,Cost,Leases
619217,Leases>12 Mths Anaplan Var -B50 Prop Admin,Cost,Leases
619220,Lease Liabilities Amortization - Fixed Costs,Cost,Leases
619221,Leases>12 Mths Anaplan Var -A11 Mining Extract (M08 Rcls),Cost,Leases
619222,Leases>12 Mths Anaplan Var -A12 Mining Trans (M08 Rcls),Cost,Leases
619223,Leases>12 Mths Anaplan Var -A13 Mining Other (M08 Rcls),Cost,Leases
619224,Leases>12 Mths Anaplan Var -B30 Prop Warehouse (M08 Rcls),Cost,Leases
619230,Lease Liabilities Amortization - Overheads,Cost,Leases
619300,Net Change in Lease Liabilities,Cost,Leases
619301,Leases>12 Mths Anaplan Svc -A11 Equip Mining Extract,Cost,Leases
619302,Leases>12 Mths Anaplan Svc -A12 Equip Mining Trans,Cost,Leases
619303,Leases>12 Mths Anaplan Svc -A13 Equip Mining Other,Cost,Leases
619304,Leases>12 Mths Anaplan Svc -A20 Equip Indust Fixed,Cost,Leases
619305,Leases>12 Mths Anaplan Svc -A21 Equip Indust Vessel,Cost,Leases
619306,Leases>12 Mths Anaplan Svc -A22 Equip Indust Railcar,Cost,Leases
619307,Leases>12 Mths Anaplan Svc -A23 Equip Indust Truck,Cost,Leases
619308,Leases>12 Mths Anaplan Svc -A24 Equip Indust Forklift,Cost,Leases
619309,Leases>12 Mths Anaplan Svc -A25 Equip Other Mob,Cost,Leases
619310,Leases>12 Mths Anaplan Svc -A30 Equip Pass Car,Cost,Leases
619311,Leases>12 Mths Anaplan Svc -A41 Equip Admin,Cost,Leases
619312,Leases>12 Mths Anaplan Svc -B10 Prop Land Mining,Cost,Leases
619313,Leases>12 Mths Anaplan Svc -B11 Prop Land Nonming,Cost,Leases
619314,Leases>12 Mths Anaplan Svc -B20 Prop Plant,Cost,Leases
619315,Leases>12 Mths Anaplan Svc -B30 Prop Warehouse,Cost,Leases
619316,Leases>12 Mths Anaplan Svc -B40 Prop Housing,Cost,Leases
619317,Leases>12 Mths Anaplan Svc -B50 Prop Admin,Cost,Leases
619318,Leases>12 Mths Anaplan Svc -A11 Mining Extract (M08 Rcls),Cost,Leases
619319,Leases>12 Mths Anaplan Svc -A12 Mining Trans (M08 Rcls),Cost,Leases
619320,Leases>12 Mths Anaplan Svc -A13 Mining Other (M08 Rcls),Cost,Leases
619321,Leases>12 Mths Anaplan Svc -B30 Prop Warehouse (M08 Rcls),Cost,Leases
619351,Leases>12 Months-Prepay-A11 Equip Mining Extract,Cost,Leases
619352,Leases>12 Months-Prepay-A12 Equip Mining Trans,Cost,Leases
619353,Leases>12 Months-Prepay-A13 Equip Mining Other,Cost,Leases
619354,Leases>12 Months-Prepay-A20 Equip Indust Fixed,Cost,Leases
619355,Leases>12 Months-Prepay-A21 Equip Indust Vessel,Cost,Leases
619356,Leases>12 Months-Prepay-A22 Equip Indust Railcar,Cost,Leases
619357,Leases>12 Months-Prepay-A23 Equip Indust Truck,Cost,Leases
619358,Leases>12 Months-Prepay-A24 Equip Indust Forklift,Cost,Leases
619359,Leases>12 Months-Prepay-A25 Equip Other Mob,Cost,Leases
619360,Leases>12 Months-Prepay-A30 Equip Pass Car,Cost,Leases
619361,Leases>12 Months-Prepay-A41 Equip Admin,Cost,Leases
619362,Leases>12 Months-Prepay-B10 Prop Land Mining,Cost,Leases
619363,Leases>12 Months-Prepay-B11 Prop Land Nonming,Cost,Leases
619364,Leases>12 Months-Prepay-B20 Prop Plant,Cost,Leases
619365,Leases>12 Months-Prepay-B30 Prop Warehouse,Cost,Leases
619366,Leases>12 Months-Prepay-B40 Prop Housing,Cost,Leases
619367,Leases>12 Months-Prepay-B50 Prop Admin,Cost,Leases
619371,Leases>12 Months-Prepay-A11 Equip Mining Extract (M08 Rcls),Cost,Leases
619372,Leases>12 Months-Prepay-A12 Equip Mining Trans (M08 Rcls),Cost,Leases
619373,Leases>12 Months-Prepay-A13 Equip Mining Other (M08 Rcls),Cost,Leases
619374,Leases>12 Months-Prepay-B30 Prop Warehouse (M08 Rcls),Cost,Leases
619400,Net Change in Right-of-Use Assets,Cost,Leases
619401,Leases>12 Mths-Out of Scope Entity-Low Mat-A11 Mng Extract,Cost,Leases
619402,Leases>12 Mths-Out of Scope Entity-Low Mat-A12 Mining Trans,Cost,Leases
619403,Leases>12 Mths-Out of Scope Entity-Low Mat-A13 Mining Other,Cost,Leases
619404,Leases>12 Mths-Out of Scope Entity-Low Mat-A20 Indust Fixed,Cost,Leases
